periodo,sector,concursos
2023Q4,F Construcción,236
2024Q1,F Construcción,239
2024Q2,F Construcción,222
2024Q3,F Construcción,179
2024Q4,F Construcción,219
2025Q1,F Construcción,240
2025Q2,F Construcción,241
2025Q3,F Construcción,196
2025Q4,F Construcción,248
2011Q1,G Comercio,254
2011Q2,G Comercio,280
2011Q3,G Comercio,211
2011Q4,G Comercio,304
2012Q1,G Comercio,372
2012Q2,G Comercio,369
2012Q3,G Comercio,300
2012Q4,G Comercio,464
2013Q1,G Comercio,451
2013Q2,G Comercio,455
2013Q3,G Comercio,344
2013Q4,G Comercio,437
2014Q1,G Comercio,372
2014Q2,G Comercio,343
2014Q3,G Comercio,256
2014Q4,G Comercio,301
2015Q1,G Comercio,301
2015Q2,G Comercio,286
2015Q3,G Comercio,243
2015Q4,G Comercio,270
2016Q1,G Comercio,221
2016Q2,G Comercio,243
2016Q3,G Comercio,195
2016Q4,G Comercio,236
2017Q1,G Comercio,218
2017Q2,G Comercio,276
2017Q3,G Comercio,176
2017Q4,G Comercio,267
2018Q1,G Comercio,245
2018Q2,G Comercio,264
2018Q3,G Comercio,196
2018Q4,G Comercio,271
2019Q1,G Comercio,305
2019Q2,G Comercio,273
2019Q3,G Comercio,229
2019Q4,G Comercio,354
2020Q1,G Comercio,257
2020Q2,G Comercio,185
2020Q3,G Comercio,242
2020Q4,G Comercio,275
2021Q1,G Comercio,229
2021Q2,G Comercio,215
2021Q3,G Comercio,166
2021Q4,G Comercio,222
2022Q1,G Comercio,252
2022Q2,G Comercio,237
2022Q3,G Comercio,341
2022Q4,G Comercio,271
2023Q1,G Comercio,228
2023Q2,G Comercio,326
2023Q3,G Comercio,240
2023Q4,G Comercio,374
2024Q1,G Comercio,376
2024Q2,G Comercio,366
2024Q3,G Comercio,316
2024Q4,G Comercio,336
2025Q1,G Comercio,438
2025Q2,G Comercio,345
2025Q3,G Comercio,311
2025Q4,G Comercio,363
2011Q1,H Transporte y almacenamiento,67
2011Q2,H Transporte y almacenamiento,70
2011Q3,H Transporte y almacenamiento,62
2011Q4,H Transporte y almacenamiento,66
2012Q1,H Transporte y almacenamiento,111
2012Q2,H Transporte y almacenamiento,104
2012Q3,H Transporte y almacenamiento,57
2012Q4,H Transporte y almacenamiento,90
2013Q1,H Transporte y almacenamiento,97
2013Q2,H Transporte y almacenamiento,76
2013Q3,H Transporte y almacenamiento,59
2013Q4,H Transporte y almacenamiento,84
2014Q1,H Transporte y almacenamiento,73
2014Q2,H Transporte y almacenamiento,71
2014Q3,H Transporte y almacenamiento,50
2014Q4,H Transporte y almacenamiento,59
2015Q1,H Transporte y almacenamiento,50
2015Q2,H Transporte y almacenamiento,43
2015Q3,H Transporte y almacenamiento,36
2015Q4,H Transporte y almacenamiento,43
2016Q1,H Transporte y almacenamiento,45
2016Q2,H Transporte y almacenamiento,30
2016Q3,H Transporte y almacenamiento,30
2016Q4,H Transporte y almacenamiento,43
2017Q1,H Transporte y almacenamiento,37
2017Q2,H Transporte y almacenamiento,36
2017Q3,H Transporte y almacenamiento,30
2017Q4,H Transporte y almacenamiento,69
2018Q1,H Transporte y almacenamiento,45
2018Q2,H Transporte y almacenamiento,67
2018Q3,H Transporte y almacenamiento,42
2018Q4,H Transporte y almacenamiento,54
2019Q1,H Transporte y almacenamiento,55
2019Q2,H Transporte y almacenamiento,50
2019Q3,H Transporte y almacenamiento,59
2019Q4,H Transporte y almacenamiento,76
2020Q1,H Transporte y almacenamiento,70
2020Q2,H Transporte y almacenamiento,38
2020Q3,H Transporte y almacenamiento,50
2020Q4,H Transporte y almacenamiento,68
2021Q1,H Transporte y almacenamiento,53
2021Q2,H Transporte y almacenamiento,34
2021Q3,H Transporte y almacenamiento,37
2021Q4,H Transporte y almacenamiento,37
2022Q1,H Transporte y almacenamiento,49
2022Q2,H Transporte y almacenamiento,62
2022Q3,H Transporte y almacenamiento,72
2022Q4,H Transporte y almacenamiento,45
2023Q1,H Transporte y almacenamiento,51
2023Q2,H Transporte y almacenamiento,50
2023Q3,H Transporte y almacenamiento,37
2023Q4,H Transporte y almacenamiento,51
2024Q1,H Transporte y almacenamiento,50
2024Q2,H Transporte y almacenamiento,66
2024Q3,H Transporte y almacenamiento,46
2024Q4,H Transporte y almacenamiento,66
2025Q1,H Transporte y almacenamiento,68
2025Q2,H Transporte y almacenamiento,84
2025Q3,H Transporte y almacenamiento,45
2025Q4,H Transporte y almacenamiento,78
2011Q1,I Hostelería,48
2011Q2,I Hostelería,57
2011Q3,I Hostelería,32
2011Q4,I Hostelería,51
2012Q1,I Hostelería,64
2012Q2,I Hostelería,81
2012Q3,I Hostelería,43
2012Q4,I Hostelería,89
2013Q1,I Hostelería,123
2013Q2,I Hostelería,90
2013Q3,I Hostelería,84
2013Q4,I Hostelería,103
2014Q1,I Hostelería,96
2014Q2,I Hostelería,96
2014Q3,I Hostelería,95
2014Q4,I Hostelería,82
2015Q1,I Hostelería,96
2015Q2,I Hostelería,73
2015Q3,I Hostelería,66
2015Q4,I Hostelería,67
2016Q1,I Hostelería,93
2016Q2,I Hostelería,68
2016Q3,I Hostelería,46
2016Q4,I Hostelería,70
2017Q1,I Hostelería,54
2017Q2,I Hostelería,70
2017Q3,I Hostelería,39
2017Q4,I Hostelería,72
2018Q1,I Hostelería,69
2018Q2,I Hostelería,71
2018Q3,I Hostelería,56
2018Q4,I Hostelería,72
2019Q1,I Hostelería,80
2019Q2,I Hostelería,77
2019Q3,I Hostelería,63
2019Q4,I Hostelería,103
2020Q1,I Hostelería,84
2020Q2,I Hostelería,60
2020Q3,I Hostelería,127
2020Q4,I Hostelería,213
2021Q1,I Hostelería,226
2021Q2,I Hostelería,177
2021Q3,I Hostelería,114
2021Q4,I Hostelería,106
2022Q1,I Hostelería,136
2022Q2,I Hostelería,130
2022Q3,I Hostelería,149
2022Q4,I Hostelería,128
2023Q1,I Hostelería,85
2023Q2,I Hostelería,136
2023Q3,I Hostelería,105
2023Q4,I Hostelería,137
