Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Hombres;09 Cataluña;Total;2015T4;16,53
Hombres;09 Cataluña;Total;2015T3;16,72
Hombres;09 Cataluña;Total;2015T2;18,2
Hombres;09 Cataluña;Total;2015T1;19,9
Hombres;09 Cataluña;Total;2014T4;20,16
Hombres;09 Cataluña;Total;2014T3;18,99
Hombres;09 Cataluña;Total;2014T2;20,35
Hombres;09 Cataluña;Total;2014T1;23,07
Hombres;09 Cataluña;Total;2013T4;22,29
Hombres;09 Cataluña;Total;2013T3;23,24
Hombres;09 Cataluña;Total;2013T2;24,07
Hombres;09 Cataluña;Total;2013T1;25,34
Hombres;09 Cataluña;Total;2012T4;24,65
Hombres;09 Cataluña;Total;2012T3;22,89
Hombres;09 Cataluña;Total;2012T2;22,81
Hombres;09 Cataluña;Total;2012T1;22,42
Hombres;09 Cataluña;Total;2011T4;20,7
Hombres;09 Cataluña;Total;2011T3;20,35
Hombres;09 Cataluña;Total;2011T2;18,47
Hombres;09 Cataluña;Total;2011T1;19,56
Hombres;09 Cataluña;Total;2010T4;19,1
Hombres;09 Cataluña;Total;2010T3;17,97
Hombres;09 Cataluña;Total;2010T2;18,2
Hombres;09 Cataluña;Total;2010T1;19,12
Hombres;09 Cataluña;Total;2009T4;18,18
Hombres;09 Cataluña;Total;2009T3;16,52
Hombres;09 Cataluña;Total;2009T2;16,98
Hombres;09 Cataluña;Total;2009T1;17,15
Hombres;09 Cataluña;Total;2008T4;12,34
Hombres;09 Cataluña;Total;2008T3;9,41
Hombres;09 Cataluña;Total;2008T2;7,66
Hombres;09 Cataluña;Total;2008T1;6,76
Hombres;09 Cataluña;Total;2007T4;5,6
Hombres;09 Cataluña;Total;2007T3;5,72
Hombres;09 Cataluña;Total;2007T2;5,55
Hombres;09 Cataluña;Total;2007T1;5,51
Hombres;09 Cataluña;Total;2006T4;5,57
Hombres;09 Cataluña;Total;2006T3;4,79
Hombres;09 Cataluña;Total;2006T2;5,03
Hombres;09 Cataluña;Total;2006T1;5,6
Hombres;09 Cataluña;Total;2005T4;5,55
Hombres;09 Cataluña;Total;2005T3;5,8
Hombres;09 Cataluña;Total;2005T2;6,08
Hombres;09 Cataluña;Total;2005T1;6,19
Hombres;09 Cataluña;Total;2004T4;7,29
Hombres;09 Cataluña;Total;2004T3;7,63
Hombres;09 Cataluña;Total;2004T2;8,25
Hombres;09 Cataluña;Total;2004T1;8,72
Hombres;09 Cataluña;Total;2003T4;7,87
Hombres;09 Cataluña;Total;2003T3;8,08
Hombres;09 Cataluña;Total;2003T2;8,47
Hombres;09 Cataluña;Total;2003T1;8,61
Hombres;09 Cataluña;Total;2002T4;8,72
Hombres;09 Cataluña;Total;2002T3;7,32
Hombres;09 Cataluña;Total;2002T2;7,13
Hombres;09 Cataluña;Total;2002T1;8,14
Hombres;09 Cataluña;Española;2025T4;7
Hombres;09 Cataluña;Española;2025T3;6
Hombres;09 Cataluña;Española;2025T2;5,59
Hombres;09 Cataluña;Española;2025T1;6,81
Hombres;09 Cataluña;Española;2024T4;5,42
Hombres;09 Cataluña;Española;2024T3;7,33
